aspect_id,judge,judge_goe
004e382688,J1,0.7
004e382688,J2,0.7
004e382688,J3,0.7
004e382688,J4,1.4
004e382688,J5,0.7
004e382688,J6,1.4
004e382688,J7,0.0
004e382688,J8,0.7
004e382688,J9,0.7
005bdf4588,J1,-2.0
005bdf4588,J2,-3.0
005bdf4588,J3,-3.0
005bdf4588,J4,-3.0
005bdf4588,J5,-3.0
005bdf4588,J6,-3.0
005bdf4588,J7,-3.0
005bdf4588,J8,-2.0
005bdf4588,J9,-2.0
007ae3fc4b,J1,2.1
007ae3fc4b,J2,2.1
007ae3fc4b,J3,2.1
007ae3fc4b,J4,2.1
007ae3fc4b,J5,1.4
007ae3fc4b,J6,1.4
007ae3fc4b,J7,1.4
007ae3fc4b,J8,2.1
007ae3fc4b,J9,2.1
00908aacdc,J1,0.0
00908aacdc,J2,0.7
00908aacdc,J3,0.7
00908aacdc,J4,0.7
00908aacdc,J5,0.0
00908aacdc,J6,0.7
00908aacdc,J7,1.4
00908aacdc,J8,1.4
00908aacdc,J9,0.7
00a916f3c0,J1,1.0
00a916f3c0,J2,1.0
00a916f3c0,J3,2.0
00a916f3c0,J4,1.0
00a916f3c0,J5,-1.0
00a916f3c0,J6,1.0
00a916f3c0,J7,1.0
00a916f3c0,J8,0.0
00a916f3c0,J9,0.0
00abadf6f3,J1,1.8
00abadf6f3,J2,1.8
00abadf6f3,J3,1.8
00abadf6f3,J4,1.2
00abadf6f3,J5,1.8
00abadf6f3,J6,1.2
00abadf6f3,J7,1.8
00abadf6f3,J8,1.8
00abadf6f3,J9,1.8
00b8614c64,J1,0.7
00b8614c64,J2,0.7
00b8614c64,J3,0.7
00b8614c64,J4,0.0
00b8614c64,J5,0.0
00b8614c64,J6,0.7
00b8614c64,J7,0.0
00b8614c64,J8,0.0
00b8614c64,J9,0.7
00ca1a7f9c,J1,1.4
00ca1a7f9c,J2,1.4
00ca1a7f9c,J3,0.7
00ca1a7f9c,J4,1.4
00ca1a7f9c,J5,0.7
00ca1a7f9c,J6,1.4
00ca1a7f9c,J7,1.4
00ca1a7f9c,J8,1.4
00ca1a7f9c,J9,1.4
00cdab892f,J1,0.0
00cdab892f,J2,0.0
00cdab892f,J3,0.0
00cdab892f,J4,0.0
00cdab892f,J5,0.0
00cdab892f,J6,-1.0
00cdab892f,J7,-1.0
00cdab892f,J8,0.0
00cdab892f,J9,-1.0
00d93fde06,J1,1.0
00d93fde06,J2,0.0
00d93fde06,J3,-0.3
00d93fde06,J4,0.0
00d93fde06,J5,0.5
00d93fde06,J6,1.0
00d93fde06,J7,0.5
00d93fde06,J8,0.5
00d93fde06,J9,0.0
00e9dadd37,J1,0.5
00e9dadd37,J2,0.5
00e9dadd37,J3,1.0
00e9dadd37,J4,0.5
00e9dadd37,J5,1.0
00e9dadd37,J6,0.5
00e9dadd37,J7,1.0
00e9dadd37,J8,0.5
00e9dadd37,J9,0.5
0130257de5,J1,0.7
0130257de5,J2,1.4
0130257de5,J3,1.4
0130257de5,J4,0.0
0130257de5,J5,1.4
0130257de5,J6,1.4
0130257de5,J7,1.4
0130257de5,J8,0.7
0130257de5,J9,-0.7
0146bc8a4c,J1,-0.7
0146bc8a4c,J2,-1.4
0146bc8a4c,J3,-0.7
0146bc8a4c,J4,-0.7
0146bc8a4c,J5,-0.7
0146bc8a4c,J6,-0.7
0146bc8a4c,J7,-0.7
0146bc8a4c,J8,-0.7
0146bc8a4c,J9,-1.4
0174d032ae,J1,0.5
0174d032ae,J2,0.5
0174d032ae,J3,1.0
0174d032ae,J4,1.0
0174d032ae,J5,0.5
0174d032ae,J6,0.5
0174d032ae,J7,0.5
0174d032ae,J8,1.0
0174d032ae,J9,0.5
0175f1032d,J1,2.1
0175f1032d,J2,1.4
0175f1032d,J3,1.4
0175f1032d,J4,1.4
0175f1032d,J5,0.7
0175f1032d,J6,1.4
0175f1032d,J7,2.1
0175f1032d,J8,2.1
0175f1032d,J9,2.1
01d5dae0bd,J1,1.4
01d5dae0bd,J2,1.4
01d5dae0bd,J3,0.7
01d5dae0bd,J4,1.4
01d5dae0bd,J5,1.4
01d5dae0bd,J6,2.1
01d5dae0bd,J7,2.1
01d5dae0bd,J8,2.1
01d5dae0bd,J9,0.7
01d76b7687,J1,1.0
01d76b7687,J2,1.0
01d76b7687,J3,1.5
01d76b7687,J4,1.0
01d76b7687,J5,0.5
01d76b7687,J6,1.0
01d76b7687,J7,1.0
01d76b7687,J8,1.0
01d76b7687,J9,1.0
01ec22fabe,J1,-1.2
01ec22fabe,J2,-2.4
01ec22fabe,J3,-2.4
01ec22fabe,J4,-2.4
01ec22fabe,J5,-2.4
01ec22fabe,J6,-2.4
01ec22fabe,J7,-2.4
01ec22fabe,J8,-2.4
01ec22fabe,J9,-1.2
0211b2a7b0,J1,1.4
0211b2a7b0,J2,1.4
0211b2a7b0,J3,1.4
0211b2a7b0,J4,1.4
0211b2a7b0,J5,1.4
0211b2a7b0,J6,1.4
0211b2a7b0,J7,1.4
0211b2a7b0,J8,1.4
0211b2a7b0,J9,1.4
022a2d42f1,J1,-1.4
022a2d42f1,J2,-1.4
022a2d42f1,J3,-0.7
022a2d42f1,J4,-1.4
022a2d42f1,J5,-1.4
022a2d42f1,J6,-1.4
022a2d42f1,J7,-1.4
022a2d42f1,J8,-1.4
022a2d42f1,J9,-1.4
026ee16f34,J1,1.0
026ee16f34,J2,1.5
026ee16f34,J3,1.0
026ee16f34,J4,1.0
026ee16f34,J5,1.0
026ee16f34,J6,0.5
026ee16f34,J7,1.0
026ee16f34,J8,0.5
026ee16f34,J9,1.5
02ee768602,J1,3.0
02ee768602,J2,2.0
02ee768602,J3,2.0
02ee768602,J4,1.0
02ee768602,J5,2.0
02ee768602,J6,2.0
02ee768602,J7,1.0
02ee768602,J8,2.0
02ee768602,J9,2.0
02f536dde5,J1,0.7
02f536dde5,J2,1.4
02f536dde5,J3,1.4
02f536dde5,J4,1.4
02f536dde5,J5,0.7
02f536dde5,J6,1.4
02f536dde5,J7,1.4
02f536dde5,J8,1.4
02f536dde5,J9,1.4
0302cc963f,J1,2.1
0302cc963f,J2,2.1
0302cc963f,J3,1.4
0302cc963f,J4,2.1
0302cc963f,J5,2.1
0302cc963f,J6,2.1
0302cc963f,J7,2.1
0302cc963f,J8,2.1
0302cc963f,J9,2.1
0308f9290b,J1,1.4
0308f9290b,J2,1.4
