aspect_id,judge,score
004e382688,J1,1.0
004e382688,J2,1.0
004e382688,J3,1.0
004e382688,J4,2.0
004e382688,J5,1.0
004e382688,J6,2.0
004e382688,J7,0.0
004e382688,J8,1.0
004e382688,J9,1.0
005bdf4588,J1,-2.0
005bdf4588,J2,-3.0
005bdf4588,J3,-3.0
005bdf4588,J4,-3.0
005bdf4588,J5,-3.0
005bdf4588,J6,-3.0
005bdf4588,J7,-3.0
005bdf4588,J8,-2.0
005bdf4588,J9,-2.0
0070f9cc40,J1,6.5
0070f9cc40,J2,7.25
0070f9cc40,J3,6.25
0070f9cc40,J4,6.25
0070f9cc40,J5,6.0
0070f9cc40,J6,6.25
0070f9cc40,J7,6.25
0070f9cc40,J8,6.25
0070f9cc40,J9,6.25
0071f2e3ae,J1,7.25
0071f2e3ae,J2,7.5
0071f2e3ae,J3,7.25
0071f2e3ae,J4,7.5
0071f2e3ae,J5,7.0
0071f2e3ae,J6,7.0
0071f2e3ae,J7,7.5
0071f2e3ae,J8,6.5
0071f2e3ae,J9,7.25
007ae3fc4b,J1,3.0
007ae3fc4b,J2,3.0
007ae3fc4b,J3,3.0
007ae3fc4b,J4,3.0
007ae3fc4b,J5,2.0
007ae3fc4b,J6,2.0
007ae3fc4b,J7,2.0
007ae3fc4b,J8,3.0
007ae3fc4b,J9,3.0
00908aacdc,J1,0.0
00908aacdc,J2,1.0
00908aacdc,J3,1.0
00908aacdc,J4,1.0
00908aacdc,J5,0.0
00908aacdc,J6,1.0
00908aacdc,J7,2.0
00908aacdc,J8,2.0
00908aacdc,J9,1.0
00a916f3c0,J1,1.0
00a916f3c0,J2,1.0
00a916f3c0,J3,2.0
00a916f3c0,J4,1.0
00a916f3c0,J5,-1.0
00a916f3c0,J6,1.0
00a916f3c0,J7,1.0
00a916f3c0,J8,0.0
00a916f3c0,J9,0.0
00abadf6f3,J1,3.0
00abadf6f3,J2,3.0
00abadf6f3,J3,3.0
00abadf6f3,J4,2.0
00abadf6f3,J5,3.0
00abadf6f3,J6,2.0
00abadf6f3,J7,3.0
00abadf6f3,J8,3.0
00abadf6f3,J9,3.0
00b8614c64,J1,1.0
00b8614c64,J2,1.0
00b8614c64,J3,1.0
00b8614c64,J4,0.0
00b8614c64,J5,0.0
00b8614c64,J6,1.0
00b8614c64,J7,0.0
00b8614c64,J8,0.0
00b8614c64,J9,1.0
00c4da6eb4,J1,8.0
00c4da6eb4,J2,8.5
00c4da6eb4,J3,8.0
00c4da6eb4,J4,8.5
00c4da6eb4,J5,8.5
00c4da6eb4,J6,8.5
00c4da6eb4,J7,7.75
00c4da6eb4,J8,7.75
00c4da6eb4,J9,8.25
00ca1a7f9c,J1,2.0
00ca1a7f9c,J2,2.0
00ca1a7f9c,J3,1.0
00ca1a7f9c,J4,2.0
00ca1a7f9c,J5,1.0
00ca1a7f9c,J6,2.0
00ca1a7f9c,J7,2.0
00ca1a7f9c,J8,2.0
00ca1a7f9c,J9,2.0
00cdab892f,J1,0.0
00cdab892f,J2,0.0
00cdab892f,J3,0.0
00cdab892f,J4,0.0
00cdab892f,J5,0.0
00cdab892f,J6,-1.0
00cdab892f,J7,-1.0
00cdab892f,J8,0.0
00cdab892f,J9,-1.0
00d583edf0,J1,7.0
00d583edf0,J2,6.5
00d583edf0,J3,6.0
00d583edf0,J4,6.0
00d583edf0,J5,7.0
00d583edf0,J6,7.0
00d583edf0,J7,6.0
00d583edf0,J8,6.5
00d583edf0,J9,6.5
00d93fde06,J1,2.0
00d93fde06,J2,0.0
00d93fde06,J3,-1.0
00d93fde06,J4,0.0
00d93fde06,J5,1.0
00d93fde06,J6,2.0
00d93fde06,J7,1.0
00d93fde06,J8,1.0
00d93fde06,J9,0.0
00e22e2611,J1,7.0
00e22e2611,J2,6.5
00e22e2611,J3,7.0
00e22e2611,J4,7.25
00e22e2611,J5,7.25
00e22e2611,J6,6.75
00e22e2611,J7,7.25
00e22e2611,J8,6.5
00e22e2611,J9,6.0
00e9dadd37,J1,1.0
00e9dadd37,J2,1.0
00e9dadd37,J3,2.0
00e9dadd37,J4,1.0
00e9dadd37,J5,2.0
00e9dadd37,J6,1.0
00e9dadd37,J7,2.0
00e9dadd37,J8,1.0
00e9dadd37,J9,1.0
0105b703e5,J1,7.0
0105b703e5,J2,7.25
0105b703e5,J3,7.0
0105b703e5,J4,7.25
0105b703e5,J5,6.75
0105b703e5,J6,7.0
0105b703e5,J7,7.25
0105b703e5,J8,7.25
0105b703e5,J9,6.25
01126360bd,J1,7.0
01126360bd,J2,7.75
01126360bd,J3,7.25
01126360bd,J4,7.25
01126360bd,J5,6.75
01126360bd,J6,7.75
01126360bd,J7,7.75
01126360bd,J8,7.5
01126360bd,J9,7.75
011f3dcf43,J1,8.5
011f3dcf43,J2,8.5
011f3dcf43,J3,8.75
011f3dcf43,J4,8.25
011f3dcf43,J5,8.25
011f3dcf43,J6,8.0
011f3dcf43,J7,9.0
011f3dcf43,J8,8.5
011f3dcf43,J9,8.75
0130257de5,J1,1.0
0130257de5,J2,2.0
0130257de5,J3,2.0
0130257de5,J4,0.0
0130257de5,J5,2.0
0130257de5,J6,2.0
0130257de5,J7,2.0
0130257de5,J8,1.0
0130257de5,J9,-1.0
0146bc8a4c,J1,-1.0
0146bc8a4c,J2,-2.0
0146bc8a4c,J3,-1.0
0146bc8a4c,J4,-1.0
0146bc8a4c,J5,-1.0
0146bc8a4c,J6,-1.0
0146bc8a4c,J7,-1.0
0146bc8a4c,J8,-1.0
0146bc8a4c,J9,-2.0
0174d032ae,J1,1.0
0174d032ae,J2,1.0
0174d032ae,J3,2.0
0174d032ae,J4,2.0
0174d032ae,J5,1.0
0174d032ae,J6,1.0
0174d032ae,J7,1.0
0174d032ae,J8,2.0
0174d032ae,J9,1.0
0175f1032d,J1,3.0
