clean_judge_name,country,judge_name,role,program,competition,clean_role,judge_country
Vladimir CUCHRAN,ISU,CUCHRAN Vladimir,Judge No.1,Ice Dance - Free Dance,Olympic Winter Games 2018,J1,SVK
Leanna CARON,ISU,CARON Leanna,Judge No.2,Ice Dance - Free Dance,Olympic Winter Games 2018,J2,CAN
Malgorzata SOBKOW,ISU,SOBKOW Malgorzata,Judge No.3,Ice Dance - Free Dance,Olympic Winter Games 2018,J3,POL
Kaoru TAKINO,ISU,TAKINO Kaoru,Judge No.4,Ice Dance - Free Dance,Olympic Winter Games 2018,J4,JPN
Sharon ROGERS,ISU,ROGERS Sharon,Judge No.5,Ice Dance - Free Dance,Olympic Winter Games 2018,J5,USA
Tanay OZKAN SILAOGLU,ISU,OZKAN SILAOGLU Tanay,Judge No.6,Ice Dance - Free Dance,Olympic Winter Games 2018,J6,TUR
Maira ABASOVA,ISU,ABASOVA Maira,Judge No.7,Ice Dance - Free Dance,Olympic Winter Games 2018,J7,OAR
Tianyi ZHANG,ISU,ZHANG Tianyi,Judge No.8,Ice Dance - Free Dance,Olympic Winter Games 2018,J8,CHN
Marta OLOZAGARRE,ISU,OLOZAGARRE Marta,Judge No.9,Ice Dance - Free Dance,Olympic Winter Games 2018,J9,ESP
Leanna CARON,ISU,CARON Leanna,Judge No.1,Ice Dance - Short Dance,Olympic Winter Games 2018,J1,CAN
Maira ABASOVA,ISU,ABASOVA Maira,Judge No.2,Ice Dance - Short Dance,Olympic Winter Games 2018,J2,OAR
Anastassiya MAKAROVA,ISU,MAKAROVA Anastassiya,Judge No.3,Ice Dance - Short Dance,Olympic Winter Games 2018,J3,UKR
Christine HURTH,ISU,HURTH Christine,Judge No.4,Ice Dance - Short Dance,Olympic Winter Games 2018,J4,FRA
Kaoru TAKINO,ISU,TAKINO Kaoru,Judge No.5,Ice Dance - Short Dance,Olympic Winter Games 2018,J5,JPN
Tanay OZKAN SILAOGLU,ISU,OZKAN SILAOGLU Tanay,Judge No.6,Ice Dance - Short Dance,Olympic Winter Games 2018,J6,TUR
Walter ZUCCARO,ISU,ZUCCARO Walter,Judge No.7,Ice Dance - Short Dance,Olympic Winter Games 2018,J7,ITA
Sharon ROGERS,ISU,ROGERS Sharon,Judge No.8,Ice Dance - Short Dance,Olympic Winter Games 2018,J8,USA
Albert ZAYDMAN,ISU,ZAYDMAN Albert,Judge No.9,Ice Dance - Short Dance,Olympic Winter Games 2018,J9,ISR
Nicole LEBLANC-RICHARD,ISU,LEBLANC-RICHARD Nicole,Judge No.1,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J1,CAN
Agita ABELE,ISU,ABELE Agita,Judge No.2,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J2,LAT
Sung-Hee KOH,ISU,KOH Sung-Hee,Judge No.3,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J3,KOR
Elena FOMINA,ISU,FOMINA Elena,Judge No.4,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J4,OAR
Hailan JIANG,ISU,JIANG Hailan,Judge No.5,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J5,CHN
Elisabeth LOUESDON,ISU,LOUESDON Elisabeth,Judge No.6,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J6,FRA
Francoise DE RAPPARD,ISU,DE RAPPARD Francoise,Judge No.7,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J7,BEL
Deveny DECK,ISU,DECK Deveny,Judge No.8,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J8,USA
Kerstin KIMMINUS,ISU,KIMMINUS Kerstin,Judge No.9,Ladies Single Skating - Free Skating,Olympic Winter Games 2018,J9,GER
Kvetoslava MATEJOVA,ISU,MATEJOVA Kvetoslava,Judge No.1,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J1,SVK
Katalin BALCZO,ISU,BALCZO Katalin,Judge No.2,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J2,HUN
Deveny DECK,ISU,DECK Deveny,Judge No.3,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J3,USA
Ayumi KOZUKA,ISU,KOZUKA Ayumi,Judge No.4,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J4,JPN
Sung-Hee KOH,ISU,KOH Sung-Hee,Judge No.5,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J5,KOR
Hailan JIANG,ISU,JIANG Hailan,Judge No.6,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J6,CHN
Elena FOMINA,ISU,FOMINA Elena,Judge No.7,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J7,OAR
Yuriy GUSKOV,ISU,GUSKOV Yuriy,Judge No.8,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J8,KAZ
Agita ABELE,ISU,ABELE Agita,Judge No.9,Ladies Single Skating - Short Program,Olympic Winter Games 2018,J9,LAT
