performance_id,competition,program,name,nation,rank,starting_number,total_segment_score,total_element_score,total_component_score,total_deductions
a3f8fac157,Olympic Winter Games 2018,Ice Dance - Free Dance,LAURIAULT Marie-Jade / le GAC Romain,FRA,17,1,89.62,47.04,42.58,0.00
d727237592,Olympic Winter Games 2018,Ice Dance - Free Dance,MYSLIVECKOVA Lucie / CSOLLEY Lukas,SVK,20,2,82.82,41.65,41.17,0.00
93fe6322fa,Olympic Winter Games 2018,Ice Dance - Free Dance,LORENZ Kavita / POLIZOAKIS Joti,GER,16,3,90.50,46.78,43.72,0.00
cb67dacba3,Olympic Winter Games 2018,Ice Dance - Free Dance,MIN Yura / GAMELIN Alexander,KOR,19,4,86.52,44.61,41.91,0.00
b79025399c,Olympic Winter Games 2018,Ice Dance - Free Dance,AGAFONOVA Alisa / UCAR Alper,TUR,18,5,87.76,44.01,43.75,0.00
86ee683391,Olympic Winter Games 2018,Ice Dance - Free Dance,GUIGNARD Charlene / FABBRI Marco,ITA,9,6,105.31,53.82,51.49,0.00
a244f79fc6,Olympic Winter Games 2018,Ice Dance - Free Dance,KALISZEK Natalia / SPODYRIEV Maksym,POL,15,7,95.29,48.45,46.84,0.00
7b99039628,Olympic Winter Games 2018,Ice Dance - Free Dance,MURAMOTO Kana / REED Chris,JPN,13,8,97.22,50.75,46.47,0.00
55413f4bde,Olympic Winter Games 2018,Ice Dance - Free Dance,ZAGORSKI Tiffani / GUERREIRO Jonathan,OAR,14,9,95.77,46.73,49.04,0.00
cd6574c137,Olympic Winter Games 2018,Ice Dance - Free Dance,HURTADO Sara / KHALIAVIN Kirill,ESP,11,10,101.40,51.68,49.72,0.00
26712c9aa0,Olympic Winter Games 2018,Ice Dance - Free Dance,GILLES Piper / POIRIER Paul,CAN,8,11,107.31,55.14,52.17,0.00
4754ed4e3b,Olympic Winter Games 2018,Ice Dance - Free Dance,COOMES Penny / BUCKLAND Nicholas,GBR,10,12,101.96,51.66,50.30,0.00
d4dd020d29,Olympic Winter Games 2018,Ice Dance - Free Dance,WEAVER Kaitlyn / POJE Andrew,CAN,7,13,107.65,53.48,54.17,0.00
ec76a70474,Olympic Winter Games 2018,Ice Dance - Free Dance,CHOCK Madison / BATES Evan,USA,12,14,100.13,49.04,53.09,-2.00
29d3629a8d,Olympic Winter Games 2018,Ice Dance - Free Dance,BOBROVA Ekaterina / SOLOVIEV Dmitri,OAR,4,15,111.45,56.25,55.20,0.00
1f92da4901,Olympic Winter Games 2018,Ice Dance - Free Dance,CAPPELLINI Anna / LANOTTE Luca,ITA,6,16,108.34,55.27,54.07,-1.00
c53dc0d70f,Olympic Winter Games 2018,Ice Dance - Free Dance,SHIBUTANI Maia / SHIBUTANI Alex,USA,3,17,114.86,59.37,55.49,0.00
f9b3b1bf16,Olympic Winter Games 2018,Ice Dance - Free Dance,PAPADAKIS Gabriella / CIZERON Guillaume,FRA,1,18,123.35,63.98,59.37,0.00
01a3f2a443,Olympic Winter Games 2018,Ice Dance - Free Dance,HUBBELL Madison / DONOHUE Zachary,USA,5,19,109.94,54.94,56.00,-1.00
97fcedee96,Olympic Winter Games 2018,Ice Dance - Free Dance,VIRTUE Tessa / MOIR Scott,CAN,2,20,122.40,63.35,59.05,0.00
a8c457d283,Olympic Winter Games 2018,Ice Dance - Short Dance,MANSOUROVA Cortney / CESKA Michal,CZE,23,1,53.53,29.11,24.42,0.00
f8cf0bf55f,Olympic Winter Games 2018,Ice Dance - Short Dance,NAZAROVA Alexandra / NIKITIN Maxim,UKR,21,2,57.97,27.26,30.71,0.00
4dc236de09,Olympic Winter Games 2018,Ice Dance - Short Dance,LORENZ Kavita / POLIZOAKIS Joti,GER,17,3,59.99,31.39,28.60,0.00
883c4899db,Olympic Winter Games 2018,Ice Dance - Short Dance,TANKOVA Adel / ZILBERBERG Ronald,ISR,24,4,46.66,23.85,22.81,0.00
8388024a41,Olympic Winter Games 2018,Ice Dance - Short Dance,ZAGORSKI Tiffani / GUERREIRO Jonathan,OAR,13,5,66.47,34.15,32.32,0.00
808d4cb61a,Olympic Winter Games 2018,Ice Dance - Short Dance,LAURIAULT Marie-Jade / le GAC Romain,FRA,18,6,59.97,31.18,28.79,0.00
f1b9612e6e,Olympic Winter Games 2018,Ice Dance - Short Dance,HURTADO Sara / KHALIAVIN Kirill,ESP,12,7,66.93,35.07,31.86,0.00
c309f0e91f,Olympic Winter Games 2018,Ice Dance - Short Dance,AGAFONOVA Alisa / UCAR Alper,TUR,20,8,59.42,29.64,29.78,0.00
c8b28adc40,Olympic Winter Games 2018,Ice Dance - Short Dance,COOMES Penny / BUCKLAND Nicholas,GBR,10,9,68.36,34.70,33.66,0.00
5abdd13573,Olympic Winter Games 2018,Ice Dance - Short Dance,WANG Shiyue / LIU Xinyu,CHN,22,10,57.81,29.28,29.53,-1.00
0332369044,Olympic Winter Games 2018,Ice Dance - Short Dance,MYSLIVECKOVA Lucie / CSOLLEY Lukas,SVK,19,11,59.75,31.40,28.35,0.00
1ff7639449,Olympic Winter Games 2018,Ice Dance - Short Dance,MIN Yura / GAMELIN Alexander,KOR,16,12,61.22,32.94,28.28,0.00
d579a207d2,Olympic Winter Games 2018,Ice Dance - Short Dance,KALISZEK Natalia / SPODYRIEV Maksym,POL,14,13,66.06,34.65,31.41,0.00
64bda73aba,Olympic Winter Games 2018,Ice Dance - Short Dance,MURAMOTO Kana / REED Chris,JPN,15,14,63.41,32.87,30.54,0.00
da7bbb92f1,Olympic Winter Games 2018,Ice Dance - Short Dance,GUIGNARD Charlene / FABBRI Marco,ITA,11,15,68.16,34.19,33.97,0.00
b087ac2e9e,Olympic Winter Games 2018,Ice Dance - Short Dance,GILLES Piper / POIRIER Paul,CAN,9,16,69.60,34.95,34.65,0.00
b08ddc2526,Olympic Winter Games 2018,Ice Dance - Short Dance,WEAVER Kaitlyn / POJE Andrew,CAN,8,17,74.33,37.65,36.68,0.00
39b574a0a9,Olympic Winter Games 2018,Ice Dance - Short Dance,SHIBUTANI Maia / SHIBUTANI Alex,USA,4,18,77.73,40.33,37.40,0.00
ba726e7a33,Olympic Winter Games 2018,Ice Dance - Short Dance,CHOCK Madison / BATES Evan,USA,7,19,75.45,39.39,36.06,0.00
80c4a7d391,Olympic Winter Games 2018,Ice Dance - Short Dance,VIRTUE Tessa / MOIR Scott,CAN,1,20,83.67,44.53,39.14,0.00
a6d9d60678,Olympic Winter Games 2018,Ice Dance - Short Dance,PAPADAKIS Gabriella / CIZERON Guillaume,FRA,2,21,81.93,42.71,39.22,0.00
8688cbac5d,Olympic Winter Games 2018,Ice Dance - Short Dance,HUBBELL Madison / DONOHUE Zachary,USA,3,22,77.75,40.98,36.77,0.00
9af05e3103,Olympic Winter Games 2018,Ice Dance - Short Dance,BOBROVA Ekaterina / SOLOVIEV Dmitri,OAR,6,23,75.47,38.36,37.11,0.00
1c0cb2713c,Olympic Winter Games 2018,Ice Dance - Short Dance,CAPPELLINI Anna / LANOTTE Luca,ITA,5,24,76.57,40.00,36.57,0.00
479e7899ff,Olympic Winter Games 2018,Ladies Single Skating - Free Skating,PAGANINI Alexia,SUI,22,1,101.00,50.94,50.06,0.00
7cb983820e,Olympic Winter Games 2018,Ladies Single Skating - Free Skating,HENDRICKX Loena,BEL,14,2,116.72,60.73,55.99,0.00
c0045f3cdb,Olympic Winter Games 2018,Ladies Single Skating - Free Skating,MEITE Mae Berenice,FRA,18,3,106.25,55.13,52.12,-1.00
4290d9ff69,Olympic Winter Games 2018,Ladies Single Skating - Free Skating,KIM Hanul,KOR,10,4,121.38,67.03,54.35,0.00
a2e9b50361,Olympic Winter Games 2018,Ladies Single Skating - Free Skating,LI Xiangning,CHN,20,5,101.97,50.56,51.41,0.00
